Pleuronectidae; Reinhardtius; Reinhardtius hippoglossoides
Pleuronectidae; Reinhardtius; Reinhardtius hippoglossoides
Pleuronectidae; Reinhardtius; Reinhardtius hippoglossoides
Gadidae; Gadus; Gadus chalcogrammus
Pleuronectidae; Reinhardtius; Reinhardtius hippoglossoides
Pleuronectidae; Reinhardtius; Reinhardtius hippoglossoides
Pleuronectidae; Reinhardtius; Reinhardtius hippoglossoides
Gadidae; Gadus; Gadus chalcogrammus
Rajidae; Amblyraja; Amblyraja radiata
Pleuronectidae; Limanda; Limanda aspera
Pleuronectidae; Reinhardtius; Reinhardtius hippoglossoides
Gadidae; Melanogrammus; Melanogrammus aeglefinus
Stichaeidae; Anisarchus; Anisarchus medius
Gadidae; Gadus; Gadus chalcogrammus
Clupeidae; Clupea; Clupea harengus
Cottidae; Artediellus; Artediellus atlanticus
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Myctophidae; Benthosema; Benthosema glaciale
Clupeidae; Clupea; Clupea harengus
Myctophidae; Benthosema; Benthosema glaciale
Sebastidae; Sebastes; Sebastes mentella
Clupeidae; Clupea; Clupea harengus
Rajidae; Rajella; Rajella fyllae
Rajidae; Amblyraja; Amblyraja hyperborea
Clupeidae; Clupea; Clupea harengus
Clupeidae; Clupea; Clupea harengus
Clupeidae; Clupea; Clupea harengus
Clupeidae; Clupea; Clupea harengus
Clupeidae; Clupea; Clupea harengus
Salangidae; Mallotus; Mallotus villosus
Salangidae; Mallotus; Mallotus villosus
Gadidae; Boreogadus; Boreogadus saida
Gadidae; Gadus; Gadus macrocephalus
Gadidae; Gadus; Gadus chalcogrammus
Gadidae; Gadus; Gadus macrocephalus
Somniosidae; Somniosus; Somniosus microcephalus
Clupeidae; Clupea; Clupea harengus
Clupeidae; Clupea; Clupea harengus
Clupeidae; Clupea; Clupea harengus
Salangidae; Mallotus; Mallotus villosus
Gadidae; Gadus; Gadus morhua
Gadidae; Arctogadus; Arctogadus glacialis
Gadidae; Arctogadus; Arctogadus glacialis
Gadidae; Gadus; Gadus chalcogrammus
Gadidae; Gadus; Gadus chalcogrammus
Gadidae; Gadus; Gadus morhua
Gadidae; Gadus; Gadus morhua
Gadidae; Gadus; Gadus macrocephalus
Gadidae; Gadus; Gadus macrocephalus
Gadidae; Melanogrammus; Melanogrammus aeglefinus
Gadidae; Melanogrammus; Melanogrammus aeglefinus
Gadidae; Boreogadus; Boreogadus saida
Gadidae; Boreogadus; Boreogadus saida
Paralepididae; Arctozenus; Arctozenus risso
Arhynchobatidae; Bathyraja; Bathyraja spinicauda
Myctophidae; Benthosema; Benthosema glaciale
Gadidae; Boreogadus; Boreogadus saida
Salangidae; Mallotus; Mallotus villosus
Gadidae; Melanogrammus; Melanogrammus aeglefinus
Rajidae; Rajella; Rajella fyllae
Rajidae; Amblyraja; Amblyraja radiata
Pleuronectidae; Reinhardtius; Reinhardtius hippoglossoides
Sebastidae; Sebastes; Sebastes mentella
Somniosidae; Somniosus; Somniosus microcephalus
Gadidae; Gadus; Gadus morhua
Salangidae; Mallotus; Mallotus villosus
Gadidae; Gadus; Gadus chalcogrammus
Gadidae; Gadus; Gadus macrocephalus
Gadidae; Boreogadus; Boreogadus saida
Pleuronectidae; Limanda; Limanda aspera
Pleuronectidae; Limanda; Limanda aspera
Pleuronectidae; Pleuronectes; Pleuronectes quadrituberculatus
Pleuronectidae; Pleuronectes; Pleuronectes quadrituberculatus
Pleuronectidae; Hippoglossoides; Hippoglossoides robustus
Pleuronectidae; Hippoglossoides; Hippoglossoides robustus
Pleuronectidae; Hippoglossoides; Hippoglossoides robustus
Liparidae; Liparis; Liparis fabricii
Liparidae; Rhodichthys; Rhodichthys regina
Stichaeidae; Anisarchus; Anisarchus medius
Salangidae; Mallotus; Mallotus villosus
Salangidae; Mallotus; Mallotus villosus
Gadidae; Gadus; Gadus chalcogrammus
Gadidae; Gadus; Gadus chalcogrammus
Gadidae; Gadus; Gadus chalcogrammus
Gadidae; Gadus; Gadus macrocephalus
Gadidae; Gadus; Gadus macrocephalus
Liparidae; Careproctus; Careproctus reinhardti
Pleuronectidae; Limanda; Limanda aspera
Pleuronectidae; Limanda; Limanda aspera
Sebastidae; Sebastes; Sebastes mentella
Pleuronectidae; Reinhardtius; Reinhardtius hippoglossoides
Somniosidae; Somniosus; Somniosus microcephalus
Zoarcidae; Lycodes; Lycodes adolfi
Stichaeidae; Anisarchus; Anisarchus medius
Paralepididae; Arctozenus; Arctozenus risso
Paralepididae; Arctozenus; Arctozenus risso
Myctophidae; Lampanyctus; Lampanyctus macdonaldi
Myctophidae; Benthosema; Benthosema glaciale
Gadidae; Gadus; Gadus morhua
Zoarcidae; Lycodes; Lycodes adolfi
Zoarcidae; Lycodes; Lycodes seminudus
Gadidae; Gadus; Gadus morhua
Gadidae; Gadus; Gadus chalcogrammus
